iter	Passed	Remaining
0	127	127304
1	128	64370
2	130	43239
3	131	32665
4	132	26299
5	133	22081
6	134	19065
7	135	16851
8	136	15079
9	137	13651
10	138	12495
11	140	11530
12	141	10706
13	141	9994
14	142	9389
15	143	8850
16	144	8372
17	145	7953
18	147	7590
19	148	7257
20	149	6987
21	151	6721
22	152	6466
23	153	6227
24	154	6007
25	155	5807
26	155	5619
27	156	5447
28	157	5284
29	158	5134
30	159	4994
31	160	4859
32	161	4735
33	162	4616
34	163	4509
35	164	4411
36	165	4314
37	166	4224
38	167	4134
39	168	4050
40	169	3969
41	170	3895
42	171	3824
43	173	3759
44	174	3698
45	175	3634
46	176	3577
47	177	3515
48	178	3462
49	179	3408
50	180	3354
51	181	3301
52	182	3254
53	183	3208
54	184	3163
55	185	3122
56	186	3082
57	187	3042
58	188	3003
59	189	2965
60	190	2927
61	191	2892
62	192	2858
63	193	2831
64	194	2801
65	195	2772
66	196	2741
67	197	2705
68	198	2675
69	199	2646
70	200	2620
71	201	2593
72	202	2567
73	203	2541
74	203	2515
75	205	2493
76	206	2470
77	207	2448
78	208	2428
79	209	2407
80	210	2384
81	211	2363
82	212	2342
83	213	2323
84	213	2300
85	214	2282
86	215	2262
87	216	2243
88	217	2227
89	218	2210
90	219	2193
91	220	2176
92	221	2158
93	222	2143
94	223	2128
95	224	2111
96	225	2095
97	225	2079
98	226	2064
99	227	2049
100	228	2034
101	228	2016
102	229	2002
103	230	1988
104	231	1973
105	232	1959
106	233	1945
107	233	1931
108	234	1919
109	235	1906
110	236	1894
111	237	1884
112	238	1873
113	239	1862
114	240	1850
115	241	1837
116	241	1826
117	242	1814
118	243	1801
119	244	1790
120	244	1779
121	245	1768
122	246	1755
123	247	1745
124	247	1735
125	248	1726
126	249	1716
127	250	1704
128	251	1695
129	252	1688
130	253	1680
131	254	1671
132	255	1662
133	255	1653
134	256	1644
135	257	1635
136	258	1626
137	258	1617
138	259	1609
139	260	1601
140	261	1593
141	262	1585
142	263	1578
143	264	1570
144	265	1564
145	266	1557
146	267	1553
147	268	1546
148	269	1539
149	270	1532
150	271	1525
151	272	1519
152	273	1512
153	274	1505
154	274	1499
155	275	1492
156	276	1485
157	277	1480
158	278	1473
159	279	1467
160	280	1461
161	281	1454
162	282	1451
163	283	1446
164	284	1440
165	285	1434
166	286	1428
167	287	1422
168	288	1417
169	289	1413
170	290	1408
171	291	1403
172	292	1398
173	293	1391
174	294	1386
175	294	1380
176	295	1374
177	296	1369
178	297	1365
179	298	1360
180	299	1353
181	300	1348
182	301	1344
183	302	1339
184	302	1334
185	303	1329
186	304	1324
187	305	1319
188	306	1315
189	307	1311
190	308	1306
191	309	1302
192	310	1298
193	311	1296
194	313	1293
195	314	1289
196	315	1284
197	316	1280
198	316	1275
199	317	1270
200	318	1266
201	319	1261
202	320	1257
203	320	1252
204	321	1247
205	322	1243
206	323	1239
207	324	1235
208	325	1231
209	326	1227
210	327	1225
211	328	1221
212	329	1217
213	330	1213
214	331	1209
215	332	1205
216	332	1200
217	333	1196
218	334	1192
219	335	1188
220	336	1184
221	336	1180
222	337	1176
223	338	1173
224	339	1170
225	340	1166
226	341	1163
227	342	1160
228	343	1157
229	344	1154
230	345	1151
231	346	1147
232	347	1144
233	348	1141
234	349	1138
235	350	1135
236	351	1132
237	352	1128
238	353	1125
239	354	1121
240	354	1117
241	355	1113
242	356	1111
243	357	1109
244	358	1106
245	359	1102
246	360	1099
247	361	1096
248	362	1093
249	363	1089
250	364	1086
251	365	1083
252	365	1080
253	366	1077
254	367	1073
255	368	1070
256	369	1067
257	370	1064
258	370	1061
259	372	1059
260	373	1056
261	374	1053
262	374	1050
263	375	1047
264	376	1044
265	377	1041
266	378	1038
267	379	1035
268	379	1032
269	380	1029
270	381	1026
271	382	1023
272	383	1020
273	384	1017
274	384	1014
275	385	1012
276	387	1010
277	388	1008
278	389	1006
279	390	1004
280	391	1001
281	392	998
282	393	996
283	394	994
284	395	992
285	396	989
286	397	986
287	398	984
288	398	981
289	399	978
290	400	976
291	401	974
292	402	972
293	403	969
294	404	967
295	405	965
296	406	962
297	407	959
298	408	957
299	409	954
300	409	951
301	410	949
302	411	946
303	412	944
304	413	941
305	413	938
306	414	936
307	415	933
308	416	931
309	417	929
310	418	927
311	419	924
312	420	922
313	420	919
314	421	917
315	422	914
316	423	912
317	424	909
318	425	907
319	425	905
320	426	902
321	427	900
322	428	897
323	429	895
324	430	893
325	431	891
326	431	888
327	432	886
328	433	884
329	434	881
330	435	879
331	436	877
332	436	875
333	437	873
334	438	870
335	439	868
336	440	866
337	441	864
338	442	861
339	442	859
340	443	857
341	444	855
342	445	853
343	446	852
344	448	850
345	449	848
346	450	846
347	451	845
348	452	843
349	452	841
350	454	839
351	455	837
352	456	835
353	456	833
354	457	831
355	458	829
356	459	827
357	460	825
358	461	823
359	462	821
360	462	819
361	463	817
362	464	815
363	465	813
364	466	811
365	467	809
366	467	807
367	468	805
368	469	802
369	470	800
370	471	798
371	472	796
372	472	794
373	473	792
374	474	790
375	475	788
376	476	786
377	477	784
378	477	782
379	478	780
380	479	778
381	480	776
382	481	775
383	481	773
384	482	771
385	483	769
386	484	767
387	485	765
388	486	763
389	487	761
390	487	759
391	488	757
392	489	755
393	490	753
394	491	752
395	491	750
396	492	748
397	493	746
398	494	744
399	495	742
400	495	740
401	496	738
402	497	737
403	498	735
404	499	733
405	500	731
406	500	729
407	501	728
408	502	726
409	503	724
410	504	722
411	504	720
412	505	718
413	506	717
414	507	715
415	508	713
416	509	711
417	509	709
418	510	708
419	511	706
420	512	704
421	513	702
422	513	701
423	514	699
424	515	697
425	516	695
426	517	694
427	518	692
428	518	690
429	519	688
430	520	687
431	521	685
432	522	684
433	523	682
434	524	680
435	524	679
436	525	677
437	526	675
438	527	673
439	528	672
